"uid","do_extid","do_aktid","do_titel","do_datum_start","do_datum_ende","do_ausstellungsort","do_umfang","do_band","do_bemerkung","do_edition","do_sperrfrist","do_sperrgrund","do_sperre_ende","do_entnommen","do_verz_protokoll","do_microfilm","do_reg_sgnatur","do_update","do_create","do_systematik1","do_systematik2","do_archivsignatur_alt","do_enthaelt","do_darin","do_aktentitel","do_beschreibung","do_verweis","do_kontext_link","do_transkription_link","do_reservefeld","do_dateiname","do_idart","do_teaserheadline","do_teaserbild","do_teasertext","do_urn"
"1862","164","164","Antwort der Städte Goslar, Magdeburg, Braunschweig, Göttingen, Einbeck und Hannover an den Kurfürsten von Sachsen und den Landgrafen von Hessen, dass sie bereit sind, trotz aller Schwierigkeiten je nach ihren Möglichkeiten die Lasten zur Verteidigung der evangelischen Sache zu tragen, o.O., 18. Mai 1537.","1537-05-18","1537-05-18","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Akte, mit Schreiben des Kurfürsten von Sachsen und des Landgrafen von Hessen, militärischen Ordnungen",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.02 Schmalkaldischer Bund ","Schmalkaldischer Bund","Stadtarchiv Braunschweig, B III 5: 4, fol. 15r-17r",,,"Verhandlungen und Verträge zu Braunschweig 1537 und 1538, Coburg 1537, Magdeburg 1537, Hannover 1537 (der Städte die zu Braunschweig nicht gewesen), Eisenach 1538","Abschrift, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.), die Sekretsiegel der Städte Goslar, Magdeburg und Braunschweig angekündigt.",,"https://www.magdeburger-spuren.de/item/164",,,"B_III_5_4_2.jpg;B_III_5_4_3.jpg;B_III_5_4_4.jpg;B_III_5_4_5.jpg;B_III_5_4_6.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280657388.918567359029"
"1666","165","165","Der Rat der Stadt Magdeburg teilt dem Rat der Stadt Braunschweig mit, dass man einen Boten von Stadt zu Stadt schickt, um deren Meinung zu den Verhandlungen um gegenseitige Hilfe einzuholen, Magdeburg, 24. Juli 1537.","1537-07-24","1537-07-24","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Akte, mit Schreiben des Kurfürsten von Sachsen und des Landgrafen von Hessen, militärischen Ordnungen",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.02 Schmalkaldischer Bund ","Schmalkaldischer Bund","Stadtarchiv Braunschweig, B III 5: 4, fol. 32r-33v",,,"Verhandlungen und Verträge zu Braunschweig 1537 und 1538, Coburg 1537, Magdeburg 1537, Hannover 1537 (der Städte die zu Braunschweig nicht gewesen), Eisenach 1538","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/165",,,"B_III_5_4_32V_33R0001.jpg;B_III_5_4_32V_33R0002.jpg;B_III_5_4_32V_33R0003.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280657517.385297964228"
"1864","166","166","Die Städte Goslar, Magdeburg, Braunschweig, Göttingen, Hannover, Einbeck und Minden bestellen einen Kriegsrates der sächsischen Städte und treffen dazu weitere Festlegungen, insbesondere in Finanzangelegenheiten, o. O, 19. Mai 1537.","1537-05-19","1537-05-19","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Akte, mit Schreiben des Kurfürsten von Sachsen und des Landgrafen von Hessen, militärischen Ordnungen",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.02 Schmalkaldischer Bund ","Schmalkaldischer Bund","Stadtarchiv Braunschweig, B III 5: 4, fol. 70r-73r","Beilage: Aufstellung der jährlichen Kosten",,"Verhandlungen und Verträge zu Braunschweig 1537 und 1538, Coburg 1537, Magdeburg 1537, Hannover 1537 (der Städte die zu Braunschweig nicht gewesen), Eisenach 1538","Kopie, dt., Tinte auf Papier, angehangene Siegel der Städte angekündigt.",,"https://www.magdeburger-spuren.de/item/166",,,"B_III_5_4_10.jpg;B_III_5_4_11.jpg;B_III_5_4_12.jpg;B_III_5_4_13.jpg;B_III_5_4_7.jpg;B_III_5_4_8.jpg;B_III_5_4_9.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280658059.672150998491"
"1667","167","167","Der Rat der Stadt Magdeburg läd den Rat der Stadt Braunschweig zur Beratungen nach Magdeburg ein, Magdeburg, 21. September 1537.","1537-09-21","1537-09-21","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Akte, mit Schreiben des Kurfürsten von Sachsen und des Landgrafen von Hessen, militärischen Ordnungen",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.02 Schmalkaldischer Bund ","Schmalkaldischer Bund","Stadtarchiv Braunschweig, B III 5: 4, fol. 76r-79r","Beilage: Entwurf einiger Artikel zur militärischen Rüstung.",,"Verhandlungen und Verträge zu Braunschweig 1537 und 1538, Coburg 1537, Magdeburg 1537, Hannover 1537 (der Städte die zu Braunschweig nicht gewesen), Eisenach 1538","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/167",,,"B_III_5_4_70V_73V0001.jpg;B_III_5_4_70V_73V0002.jpg;B_III_5_4_70V_73V0003.jpg;B_III_5_4_70V_73V0004.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280658177.753139485149"
"1668","168","168","Der Rat der Stadt Magdeburg nimmt gegen über dem Rat der Stadt Braunschweig Stellung zur Haltung Bremens die Rüstung betreffend, Magdeburg, 12. Dezember 1537.","1537-12-12","1537-12-12","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Akte, mit Schreiben des Kurfürsten von Sachsen und des Landgrafen von Hessen, militärischen Ordnungen",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.02 Schmalkaldischer Bund ","Schmalkaldischer Bund","Stadtarchiv Braunschweig, B III 5: 4, fol. 162r-163v",,,"Verhandlungen und Verträge zu Braunschweig 1537 und 1538, Coburg 1537, Magdeburg 1537, Hannover 1537 (der Städte die zu Braunschweig nicht gewesen), Eisenach 1538","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/168",,,"B_III_5_4_162V_163R0001.jpg;B_III_5_4_162V_163R0002.jpg;B_III_5_4_162V_163R0003.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280658338.861089028349"
"1865","169","169","Magdeburg quittiert Braunschweig den Erhalt von Geld, Magdeburg, 28. Juni 1538.","1538-06-28","1538-06-28","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Akte, mit Schreiben des Kurfürsten von Sachsen und des Landgrafen von Hessen, militärischen Ordnungen",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.02 Schmalkaldischer Bund ","Schmalkaldischer Bund","Stadtarchiv Braunschweig, B III 5: 4, fol. 282r",,,"Verhandlungen und Verträge zu Braunschweig 1537 und 1538, Coburg 1537, Magdeburg 1537, Hannover 1537 (der Städte die zu Braunschweig nicht gewesen), Eisenach 1538","Ausfertigung, dt., Tinte auf Papier,Siegelabdruck unter dem Text",,"https://www.magdeburger-spuren.de/item/169",,,"B_III_5_4_15.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280658530.341016950177"
"1669","170","170","Catharina, Jacob Rebecks Tochter und Ehefrau des Hans Linstedt, aus Magdeburg bittet den Rat der Stadt Braunschweig, um Hilfe bei der Durchsetzung ihrer Ansprüche auf ein Haus samt Zubehör, das ihr Vater in Braunschweig erbaut hatte und das von ihr, ihrer Mutter und ihrer Schwester bewohnt wurde, nachdem er wegen Verunglimpfung des Rats die Stadt verlassen musste, Magdeburg, 13. August 1573.","1573-08-09","1573-09-21","Stadtarchiv Braunschweig",,,,,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Braunschweig, B IV 11: 150, fol. 1r-73","Beilage: Schreiben vom Rat der Stadt Magdeburg an den Rat der Stadt Braunschweig mit der Bitte um Unterstützung, 9. August 1573.- Bitte der Anna Rebock um baldige Antwort, Magdeburg, 21. September 1573.",,"Acta die aus der Stadt Braunschweig wegen Vergehens Verwiesenen, deren Häuser der Rath in Besitz genommen","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/170",,,"B_IV_11_1500001.jpg;B_IV_11_1500002.jpg;B_IV_11_1500003.jpg;B_IV_11_1500004.jpg;B_IV_11_1500005.jpg;B_IV_11_1500007.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250641302.232074081153"
"1670","171","171","Die Meister und Gesellen der Schwertfegerinnung in Magdeburg schreiben an die Räte der Städte Magdeburg und Braunschweig wegen der Irrung zwischen ihnen und den Schwertfegern zu Braunschweig um den Schwertfeger Hans aus Halberstadt.","1530-05-04","1531-05-19","Stadtarchiv Braunschweig",,,,,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","04 Innungen","Wirtschafts- und Finanzbeziehungen","Stadtarchiv Braunschweig, B IV 10c: 574, fol 1r-10r","Beilage: Schreiben vom Rat der Stadt Magdeburg an den Rat der Stadt Braunschweig dazu.",,"Irrung zwischen den Schwertfegern zu Magdeburg und den Schwertfegern zu Braunschweig den Schwertfeger Hans zu Halberstadt betr.","Ausfertigung, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/171",,,"B_IV_10c_5740001.jpg;B_IV_10c_5740002.jpg;B_IV_10c_5740003.jpg;B_IV_10c_5740004.jpg;B_IV_10c_5740005.jpg;B_IV_10c_5740006.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250641485.852848684494"
"1671","172","172","Der Rat der Stadt Magdeburg bittet den Rat der Stadt Braunschweig um dessen Meinung zum Streit um die Anfertigung von Leuchtern durch die Klempner und Eisenleutenmacher oder durch die Leuchtenmacher, Magdeburg, 14. Februar 1625.","1624-12-14","1625-02-14","Stadtarchiv Braunschweig",,,,,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.05.01 Braunschweig","Wirtschafts- und Finanzbeziehungen","Stadtarchiv Braunschweig, B IV 10c: 420","""Beilage: Schreiben der Meister und Gesellen der Klempner und Leuchtenmacher aus Braunschweig an die Klempner""",,"Die Anfertigung von eisernen Leuchtern durch die Klempner und Eisenleutenmacher oder durch die Leuchtenmacher in Braunschweig und Magdeburg","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/172",,,"B_IV_10c_4200001.jpg;B_IV_10c_4200002.jpg;B_IV_10c_4200003.jpg;B_IV_10c_4200004.jpg;B_IV_10c_4200005.jpg;B_IV_10c_4200006.jpg;B_IV_10c_4200007.jpg;B_IV_10c_4200008.jpg;B_IV_10c_4200009.jpg;B_IV_10c_4200010.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250642103.063267386568"
"1672","173","173","Der Rat der Stadt Magdeburg teilt dem Rat der Stadt Braunschweig mit, dass man die Konkordie empfangen habe und versiegelt weiterschicken wolle, Magdeburg, 8. Oktober 1558.","1558-10-08","1558-10-08","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 15r f.",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/173",,,"B_III_4_400001.jpg;173_B_III_4_400001.jpg;B_III_4_400002.jpg;173_B_III_4_400002.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250642319.438656491448"
"1673","174","174","Der Rat der Stadt Magdeburg bittet den Rat der Stadt Braunschweig um dessen Meinung zu den auf dem Tag in Lüneburg gefassten Beschlüssen zum Niedersächsischen Kreis, Magdeburg, 15. Juli 1562.","1562-07-15","1562-07-15","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 28r f u. 34v",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/174",,,"B_III_4_400001.jpg;174_B_III_4_400001.jpg;B_III_4_400002.jpg;174_B_III_4_400002.jpg;B_III_4_400003.jpg;174_B_III_4_400003.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250642525.593805515223"
"1674","175","175","Der Rat der Stadt Magdeburg bestätigt dem Rat der Stadt Braunschweig den Empfang seines Briefes, Magdeburg, 22. November 1565.","1565-11-15","1565-11-15","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 46r f.",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/175",,,"B_III_4_400001.jpg;175_B_III_4_400001.jpg;B_III_4_400002.jpg;175_B_III_4_400002.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250643511.030022436175"
"1675","176","176","Der Rat der Stadt Magdeburg teilt dem Rat der Stadt Braunschweig seine Meinung zu einer Einigung mit Hildesheim mit, Magdeburg, 11. Oktober 1565.","1565-10-11","1565-10-11","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 64r-65v",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/176",,,"B_III_4_400001.jpg;176_B_III_4_400001.jpg;B_III_4_400002.jpg;176_B_III_4_400002.jpg;B_III_4_400003.jpg;176_B_III_4_400003.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250644101.894215790758"
"1676","177","177","Der Rat der Stadt Magdeburg schreibt dem Rat der Stadt Braunschweig, dass man zum nächsten Treffen des Bundes erscheinen werde, Magdeburg, 10. November 1565.","1565-11-10","1565-11-10","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 66r u. 166v",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/177",,,"B_III_4_400003.jpg;177_B_III_4_400003.jpg;B_III_4_400004.jpg;177_B_III_4_400004.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250644393.692970955746"
"1677","178","178","Der Rat der Stadt Magdeburg schreibt dem Rat der Stadt Braunschweig, dass man zum nächsten Treffen des Bundes erscheinen werde, Magdeburg, 18. Juli 1565.","1565-07-18","1565-07-18","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 75r u. 85v",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/178",,,"B_III_4_400001.jpg;178_B_III_4_400001.jpg;B_III_4_400006.jpg;178_B_III_4_400006.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250644393.483805210346"
"1678","179","179","Der Rat der Stadt Magdeburg bestätigt dem Rat der Stadt Braunschweig den Empfang seines Briefes, Magdeburg, 5. Juli 1565.","1565-07-05","1565-07-05","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 81r",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/179",,,"B_III_4_400002.jpg;179_B_III_4_400002.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250644393.461748033498"
"1679","180","180","Der Rat der Stadt Magdeburg teilt dem Rat der Stadt Braunschweig, dass man die Dokumente über die Hildesheimer Angelegenheiten erhalten hat und schlägt weitere Beratungen vor, Magdeburg, 7. Juli 1565.","1565-07-07","1565-07-07","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 83r-84v",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/180",,,"B_III_4_400003.jpg;180_B_III_4_400003.jpg;B_III_4_400004.jpg;180_B_III_4_400004.jpg;B_III_4_400005.jpg;180_B_III_4_400005.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250646418.695970389304"
"1680","181","181","Der Rat der Stadt Magdeburg sagt dem Rat der Stadt Braunschweig die Teilnahme am kommenden Treffen zur Beratung über die Hildesheimer Angelegenheit zu, Magdeburg, 22. März 1566","1566-03-22","1566-03-22","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 40, fol. 95r f. u. 188v",,,"Correspondenz der Städte des sächsischen Bundes aus der Mitte des 16ten Jahrhundert","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/181",,,"B_III_4_400001.jpg;181_B_III_4_400001.jpg;B_III_4_400002.jpg;181_B_III_4_400002.jpg;B_III_4_400003.jpg;181_B_III_4_400003.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250647210.370507953897"
"1681","182","182","Der Rat der Stadt Magdeburg bestätigt dem Rat der Stadt Braunschweig den Empfang seines Briefes und der versiegelten Konkordie, Magdeburg, 23. August 1557","1557-08-23","1557-08-23","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 39, fol. 30r f.",,,"Der sächsischen Städte Correspondenz aus den Jahren 1556 und 1557","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/182",,,"B_III_4_38_30VR0001.jpg;B_III_4_38_30VR0002.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250647350.496935198328"
"1682","183","183","Der Rat der Stadt Magdeburg drückt dem Rat der Stadt Goslar sein Mitgefühl für erlittenes Unrecht und Leid aus, will aber nicht, dass sich Goslar von der Hanse trennt und schlägt vor, darüber auf dem nächsten Hansetag zu verhandeln, Magdeburg, 22. August 1604.","1604-08-22","1604-08-22","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 32, fol. 34r-35v",,,"Verhandlungen wegen Fortsetzung des hansischen Bündnisses","Abschrift, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/183",,,"B_III_4_32_34V_35R0001.jpg;B_III_4_32_34V_35R0002.jpg;B_III_4_32_34V_35R0003.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250647494.421760096548"
"1683","184","184","Instruktionen der Stadt Magdeburg für den Vertreter der Stadt auf dem Hansetag, Magdeburg, 20. April 1622.","1622-04-20","1622-04-20","Stadtarchiv Braunschweig",,,"Teil einer umfangreicheren Aktenserie.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B III 4: 32, fol. 433r-438v",,,"Verhandlungen wegen Fortsetzung des hansischen Bündnisses","Ausfertigung mit aufgedrücktem Siegel, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/184",,,"B_III_4_32_433V_438R0001.jpg;B_III_4_32_433V_438R0002.jpg;B_III_4_32_433V_438R0003.jpg;B_III_4_32_433V_438R0004.jpg;B_III_4_32_433V_438R0005.jpg;B_III_4_32_433V_438R0006.jpg;B_III_4_32_433V_438R0007.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250648037.714906485931"
"1684","185","185","Der Rat der Stadt Magdeburg bittet den Rat der Stadt Braunschweig, Christoph Herr zu Wernberg, Christoph von Steinberg und Heinrich von Bortfeld als Vertreter des Adels um die Entsendung von Unterhändlern, um strittige Fragen zu klären, Magdeburg, 24. August 1550.","1550-08-24","1550-08-24","Stadtarchiv Braunschweig",,,"Teil einer Akte mit weiterem Schriftverkehr zwischen Braunschweig und den Grafen von Mansfeld.",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.07.01 Hanse und Sächsischer Städtebund","Sächsischer Städtebund","Stadtarchiv Braunschweig, B IV 2b: 8, fol. 27r-28v",,,"Verhandlung mit den Grafen von Mansfeld betr. die Händel Braunschweigs und der Beschwerden vom Adel mit Herzog Heinrich d. J. sowie die Stadt Magdeburg","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier, Kanzleivermerk (16. Jh.)",,"https://www.magdeburger-spuren.de/item/185",,,"B_III_4_2b_8_27V-28R_0001.jpg;B_III_4_2b_8_27V-28R_0002.jpg;B_III_4_2b_8_27V-28R_0003.jpg;B_III_4_2b_8_27V-28R_0004.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250648179.566519855079"
"1685","186","186","Der Rat zu Magdeburg bittet den Rat der Stadt Braunschweig um eine Abschrift der neu erlassenen Ordnung der Stadt Braunschweig bezüglich der Kauf- und anderer Güter, Magdeburg, 9. August 1561.","1561-08-09","1561-08-09","Stadtarchiv Braunschweig",,,"nur dieses Schreiben in der Akte",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.05.01 Braunschweig","Wirtschafts- und Finanzbeziehungen","Stadtarchiv Braunschweig, B IV 2b: 69",,,"Der Rat zu Magdeburg bittet um eine Abschrift der neu erlassenen Ordnung der Stadt Braunschweig betr. die Kaufgüter usw.","Ausfertigung mit Siegel auf der Rückseite, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/186",,,"B_IV_2b_690003.jpg;B_IV_2b_690004.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250648335.353133641725"
"1686","187","187","Der Rat zu Magdeburg vermittelt bei der Belagerung der Stadt Braunschweig durch Herzog Heinrich Julius von Braunschweig-Wolfenbüttel, Magdeburg, 10. März 1606.","1606-03-10","1606-03-10","Stadtarchiv Braunschweig",,,"nur dieses Schreiben in der Akte",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","02.01.05.01 Braunschweig","Sächsischer Städtebund","Stadtarchiv Braunschweig, B IV 2d: 44",,,"Vermittlung der Stadt Magdeburg bei der Belagerung der Stadt Braunschweig durch Herzog Heinrich Julius","Abschrift, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/187",,,"B_IV_2d_440001.jpg;B_IV_2d_440002.jpg;B_IV_2d_440003.jpg;B_IV_2d_440004.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250648497.250981348479"
"1687","188","188","Joachim Pfeil, Bürger in Magdeburg, bekennt seine Schulden gegenüber den Vorstehern der Katharinenkirche zu Braunschweig, Magdeburg, 1. September 1598.","1598-09-01","1598-09-01","Stadtarchiv Braunschweig",,,"nur dieses Schreiben in der Akte",,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Braunschweig, B IV 11: 193",,,"Forderung der Katharinenkirche gegen Joachim Pfeil, Bürger zu Magdeburg","Abschrift, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/188",,,"B_IV_11_1930001.jpg;B_IV_11_1930002.jpg;B_IV_11_1930003.jpg;B_IV_11_1930004.jpg;B_IV_11_1930005.jpg;B_IV_11_1930006.jpg;B_IV_11_1930007.jpg;B_IV_11_1930008.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250649040.952567152054"
"1688","189","189","Bürgermeister und Rat der Stadt Braunschweig und der Schöffenstuhl zu Magdeburg beschließen die Übernahme der Gerichtsbarkeit in Kriminalsachen durch den Schöffenstuhl für drei Jahre, 4. Januar 1615.","1615-01-04","1615-01-04","Stadtarchiv Braunschweig",,,,,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","03 Schöffenstuhl","Juristische Angelegenheiten","Stadtarchiv Braunschweig, B IV 13a: 11",,,"Die dem Schöppenstuhl zu Magdeburg auf 3 Jahre übertragenen Rechtssprüche in Kriminalsachen zu Braunschweig","Ausfertigung mit Siegelabdruck, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/189",,,"B_IV_13a_110001.jpg;B_IV_13a_110002.jpg;B_IV_13a_110003.jpg;B_IV_13a_110004.jpg;B_IV_13a_110005.jpg;B_IV_13a_110006.jpg;B_IV_13a_110007.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502250659430.805250677312"
"1689","190","190","Der Schöffenstuhl zu Magdeburg erklärt sich bereit, die Gerichtsbarkeit in Kriminalsachen der Stadt Braunschweig für drei Jahre zu übernehmen, Magdeburg, 2. Januar 1615.","1615-01-02","1615-01-02","Stadtarchiv Braunschweig",,,,,,,,,,,,"2025-06-18 07:30:54","2025-06-18 07:30:54","03 Schöffenstuhl","Juristische Angelegenheiten","Stadtarchiv Braunschweig, B IV 13a: 11",,,"Die dem Schöppenstuhl zu Magdeburg auf 3 Jahre übertragenen Rechtssprüche in Kriminalsachen zu Braunschweig","Ausfertigung mit Siegelabdruck, dt., Tinte auf Papier",,"https://www.magdeburger-spuren.de/item/190",,,"B_IV_13a_110008.jpg;B_IV_13a_110009.jpg;B_IV_13a_110010.jpg","3342",,,,"urn:nbn:de:gbv:ma26-2502190645472.373128956797"
